host,interface,admin_status,oper_status,description,mac address,vlan,source_file,source_timestamp
SLON11AC01,Tw4/0/12,up,up,End-User port,00be.4356.9666,1111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te2/0/38,up,up,End-User port,2800.af24.6275,1111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/45,up,up,End-User port,a029.198b.7f3c,1111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Tw4/0/15,up,up,End-User port,ac1a.3dbd.6ee4,1111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te4/0/39,up,up,End-User port,ac91.a1c8.9e35,1111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Tw1/0/31,up,up,End-User port,c047.0e90.f2a2,1111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/41,up,up,End-User port,c047.0e92.cb9c,1111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Tw1/0/14,up,up,End-User port,c463.fb07.af3f,1111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Tw1/0/11,,,,c4cb.e10c.3448,1111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/38,up,up,WAP Port,105f.ad33.3b2d,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te7/0/45,up,up,WAP Port,105f.adfe.cc2a,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te7/0/45,up,up,WAP Port,40c7.3c06.c692,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te7/0/45,up,up,WAP Port,44a3.bb0c.7fc4,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/38,up,up,WAP Port,44a3.bb1f.5fd6,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te7/0/45,up,up,WAP Port,4cb0.4a60.d376,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te7/0/45,up,up,WAP Port,4cb0.4a61.a97c,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te7/0/45,up,up,WAP Port,5084.9262.e7b5,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/40,up,up,WAP Port,5cb4.7e02.c065,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te7/0/45,up,up,WAP Port,5ce9.1e75.e164,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/43,up,up,WAP Port,70a8.d30f.cfdf,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/40,up,up,WAP Port,7c70.db0b.6ee0,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/40,up,up,WAP Port,9c67.d613.5c0e,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/37,up,up,WAP Port,9c67.d615.c2be,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/43,up,up,WAP Port,9c67.d615.c818,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te7/0/45,up,up,WAP Port,9c67.d6d4.a0e4,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/43,up,up,WAP Port,b0dc.ef85.5c0a,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/43,up,up,WAP Port,b0dc.ef85.e562,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/43,up,up,WAP Port,ce59.40df.d4bc,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/39,up,up,WAP Port,f873.df11.a8ee,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/38,up,up,WAP Port,f873.df14.3293,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Tw2/0/15,up,up,Meeting Room 5,ac91.a1c8.9d81,1711,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/40,up,up,WAP Port,0ef3.e19c.5351,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/42,up,up,WAP Port,2a82.6797.2334,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/40,up,up,WAP Port,2ab1.eff3.8639,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/40,up,up,WAP Port,5a71.ed4c.9f8b,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/40,up,up,WAP Port,663c.5532.ef86,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te7/0/45,up,up,WAP Port,6acb.6768.74b5,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te7/0/45,up,up,WAP Port,a266.6124.1bde,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/40,up,up,WAP Port,a609.5fb9.ee7a,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/42,up,up,WAP Port,a8f7.d999.3e02,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/42,up,up,WAP Port,a8f7.d999.3e12,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/40,up,up,WAP Port,a8f7.d99c.bb92,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/38,up,up,WAP Port,a8f7.d99c.d942,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/38,up,up,WAP Port,a8f7.d99c.d952,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/39,up,up,WAP Port,a8f7.d99c.d9d2,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/40,up,up,WAP Port,aade.69c9.2c15,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te7/0/45,up,up,WAP Port,be8b.c1bc.f841,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te7/0/45,up,up,WAP Port,ce41.b2c8.87c6,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/40,up,up,WAP Port,d26c.f280.cb84,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/42,up,up,WAP Port,d6dd.ff6f.f44f,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te7/0/45,up,up,WAP Port,da25.06b4.2b58,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/43,up,up,WAP Port,e6c2.8351.7da6,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC01,Te1/0/38,up,up,WAP Port,faec.5835.b6c3,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/1/7,up,up,SLON11AC02:Ten2/1/7 RLON14ER02: xe0/0/5,002a.1012.6f01,1222,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/0/46,up,up,WAP Port,105f.ad32.a569,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/0/48,up,up,WAP Port,3005.05d0.7a69,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te1/0/48,up,up,WAP Port,4c03.4f5c.0657,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/0/48,up,up,WAP Port,5084.925d.40bc,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/0/48,up,up,WAP Port,5084.9270.1a98,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te1/0/48,up,up,WAP Port,70a8.d30f.ebc3,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/0/46,up,up,WAP Port,80a9.9732.f3bf,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/0/46,up,up,WAP Port,9c67.d613.f308,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/0/48,up,up,WAP Port,9c67.d614.fbf9,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/0/48,up,up,WAP Port,9c67.d615.8669,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/0/48,up,up,WAP Port,b0dc.ef86.2fb8,1590,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Tw3/0/28,up,up,End User Port,00be.4356.559a,2111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Tw4/0/27,up,up,End User Port,0892.0476.9b5b,2111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Tw4/0/26,up,up,End User Port,0892.0477.acb2,2111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te3/0/39,up,up,End User Port,2800.af05.66ba,2111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Tw3/0/20,up,up,End User Port,2800.af2c.9fd4,2111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/0/46,up,up,WAP Port,a8f7.d981.fb62,2111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Tw4/0/32,up,up,End User Port,ac91.a1e1.dbce,2111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/0/37,,,,b445.06bf.2d34,2111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Tw3/0/12,up,up,End User Port,c025.a56f.d1a2,2111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Tw2/0/8,up,up,End User Port,c047.0e65.cf3e,2111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te4/0/42,up,up,End User Port,c047.0e71.7a7a,2111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Tw3/0/33,up,up,End User Port,c047.0e92.ceb6,2111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Tw1/0/22,up,up,End User Port,d0c1.b526.d8c7,2111,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/0/48,up,up,WAP Port,3a3f.4a0c.ac7f,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/0/46,up,up,WAP Port,3e71.4867.e99b,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te1/0/47,up,up,WAP Port,46d7.cd85.6ecd,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te1/0/48,up,up,WAP Port,86fd.5910.ebdc,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/0/48,up,up,WAP Port,8a7d.458f.859c,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/0/48,up,up,WAP Port,8e4e.9b44.dbe0,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/0/48,up,up,WAP Port,a8f7.d99c.c012,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/0/46,up,up,WAP Port,b2e5.27e2.e3ed,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te2/0/46,up,up,WAP Port,ceb1.7c87.137a,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te1/0/47,up,up,WAP Port,ea2f.08aa.6684,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
SLON11AC02,Te1/0/48,up,up,WAP Port,fa28.5bba.159c,3290,interfaces_and_mac_20251013_140246_LON_diff_vs_baseline.csv,20251013_140246
