host,interface,admin_status,oper_status,description,mac address,vlan
SLON11AC01,Tw3/0/15,up,up,End-User port,2800.af2c.a08f,1111
SLON11AC01,Tw3/0/27,up,up,End-User port,a029.198f.df9c,1111
SLON11AC01,Tw3/0/28,up,up,End-User port,ac91.a1c8.9d81,1111
SLON11AC01,Te1/0/43,up,up,WAP Port,5084.9265.625b,1590
SLON11AC01,Te1/0/38,up,up,WAP Port,5cb4.7e03.0d95,1590
SLON11AC01,Te1/0/39,up,up,WAP Port,f873.df14.3293,1590
SLON11AC01,Te1/0/38,up,up,WAP Port,0667.4a16.6b10,3290
SLON11AC01,Te1/0/42,up,up,WAP Port,6229.76d6.189e,3290
SLON11AC01,Te1/0/40,up,up,WAP Port,a2f5.fb4c.579c,3290
SLON11AC01,Te1/0/40,up,up,WAP Port,eae3.d100.96dc,3290
SLON11AC01,Te1/0/40,up,up,WAP Port,f661.33e3.7bba,3290
SLON11AC02,Te1/0/48,up,up,WAP Port,5cb4.7e03.532c,1590
SLON11AC02,Te4/0/48,up,up,End User Port,2800.af1d.0fad,2111
SLON11AC02,Te2/0/38,up,up,End User Port,2800.af24.602b,2111
SLON11AC02,Tw1/0/2,up,up,End User Port,b445.06bf.2b0d,2111
SLON11AC02,Tw5/0/26,,,,c047.0e92.ce5e,2111
SLON11AC02,Tw3/0/28,up,up,End User Port,f4ee.08c3.18c9,2111
SLON11AC02,Te1/0/47,up,up,WAP Port,8ea2.ab1f.b452,3290
SLON11AC02,Te1/0/47,up,up,WAP Port,ae96.9dd8.c3a7,3290
SLON12AC01,Te3/0/42,up,up,End User Port,3814.28ec.7185,1112
SLON12AC01,Tw1/0/31,up,up,End User Port,b445.06bf.0ed7,1112
SLON12AC01,Te7/0/46,up,up,WAP Port,76a2.e523.c94f,3290
SLON12AC01,Te6/0/46,up,up,WAP Port,a8f7.d999.b442,3290
SLON12AC01,Te6/0/47,up,up,WAP Port,a8f7.d99c.cc02,3290
SLON12AC01,Te6/0/44,up,up,WAP Port,fa11.5330.5434,3290
SLON12AC02,Te6/0/47,up,up,WAP Port,5cb4.7e03.0dae,1590
SLON12AC02,Tw1/0/36,up,up,End User Port,2800.af24.6011,2112
SLON12AC02,Tw3/0/25,up,up,End User Port,c047.0e90.f332,2112
SLON12AC02,Te2/0/41,up,up,End User Port,f4ee.08c0.43d3,2112
SLON12AC02,Te6/0/45,up,up,WAP Port,2e62.eb83.c7ee,3290
SLON12AC02,Te6/0/47,up,up,WAP Port,76a2.e523.c94f,3290
SLON12AC02,Te6/0/43,up,up,WAP Port,a8f7.d999.b182,3290
SLON12AC02,Te6/0/47,up,up,WAP Port,f6ab.2134.fcaa,3290
SLON12AC02,Te6/0/41,up,up,WAP Port,fa11.5330.5434,3290
SLON14AC01,Gi2/0/19,up,up,TSA-build port,c047.0e71.76e5,1114
SLON14AC01,Gi4/0/6,up,up,End User Port,c047.0e92.cdbe,1114
SLON14AC01,Gi4/0/15,up,up,TSA-build port,c84b.d6e3.0cb5,1114
SLON14AC01,Te8/0/48,up,up,WAP Port,2892.0015.9e06,1590
SLON14AC01,Te1/0/39,up,up,WAP Port,708c.f2c0.bc77,1590
SLON14AC01,Te1/0/41,up,up,WAP Port,26c1.aefa.5726,3290
SLON14AC01,Te1/0/39,up,up,WAP Port,3ec2.4bca.3cdb,3290
SLON14AC01,Te1/0/39,up,up,WAP Port,5ad8.3e32.c3d9,3290
SLON14AC01,Te1/0/42,up,up,WAP Port,7a19.e4fd.d1d8,3290
