host,interface,admin_status,oper_status,description,mac address,vlan
SLON11AC01,Tw4/0/18,up,up,End-User port,00be.4356.8f86,1111
SLON11AC01,Tw4/0/25,up,up,End-User port,00be.4356.97f2,1111
SLON11AC01,Te4/0/48,up,up,End-User port,0892.0476.99c9,1111
SLON11AC01,Tw2/0/21,up,up,End-User port,2800.af07.e507,1111
SLON11AC01,Tw3/0/1,up,up,End-User port,2800.af2c.9fc3,1111
SLON11AC01,Tw3/0/32,up,up,End-User port,ac91.a1c4.5ee1,1111
SLON11AC01,Te3/0/39,up,up,End-User port,ac91.a1c4.5f0b,1111
SLON11AC01,Tw2/0/35,up,up,End-User port,c047.0e65.d116,1111
SLON11AC01,Tw1/0/10,up,up,End-User port,c047.0e71.7a0c,1111
SLON11AC01,Tw4/0/33,up,up,End-User port,c047.0e90.f2fa,1111
SLON11AC01,Te2/0/47,up,up,End-User port,c047.0e92.ce7e,1111
SLON11AC01,Tw3/0/29,up,up,End-User port,c047.0e92.cee5,1111
SLON11AC01,Tw1/0/11,,,,c4cb.e10c.3448,1111
SLON11AC01,Te1/0/38,up,up,WAP Port,105f.ad33.3b2d,1590
SLON11AC01,Te1/0/40,up,up,WAP Port,40c7.3c04.ca18,1590
SLON11AC01,Te7/0/45,up,up,WAP Port,40c7.3c05.62d9,1590
SLON11AC01,Te7/0/45,up,up,WAP Port,4c77.cb0c.9397,1590
SLON11AC01,Te1/0/39,up,up,WAP Port,4cb0.4a60.d32b,1590
SLON11AC01,Te1/0/40,up,up,WAP Port,70a8.d30f.6b1c,1590
SLON11AC01,Te1/0/37,up,up,WAP Port,70a8.d310.19f4,1590
SLON11AC01,Te1/0/37,up,up,WAP Port,9c67.d613.c0d6,1590
SLON11AC01,Te7/0/45,up,up,WAP Port,9c67.d614.fbf9,1590
SLON11AC01,Te1/0/38,up,up,WAP Port,9c67.d615.cca5,1590
SLON11AC01,Te1/0/42,up,up,WAP Port,a8f7.d999.3e01,1590
SLON11AC01,Te1/0/43,up,up,WAP Port,e6f9.32c5.9f40,1590
SLON11AC01,Te1/0/38,up,up,WAP Port,f873.df14.3293,1590
SLON11AC01,Te7/0/45,up,up,WAP Port,f8fe.5e25.b773,1590
SLON11AC01,Te1/0/40,up,up,WAP Port,0efa.0fab.36e5,3290
SLON11AC01,Te1/0/42,up,up,WAP Port,2a82.6797.2334,3290
SLON11AC01,Te1/0/38,up,up,WAP Port,3692.4051.4edb,3290
SLON11AC01,Te1/0/39,up,up,WAP Port,46d7.cd85.6ecd,3290
SLON11AC01,Te1/0/42,up,up,WAP Port,8af7.28dc.6936,3290
SLON11AC01,Te1/0/42,up,up,WAP Port,a8f7.d999.3e02,3290
SLON11AC01,Te1/0/43,up,up,WAP Port,a8f7.d99c.bc42,3290
SLON11AC01,Te7/0/45,up,up,WAP Port,a8f7.d99c.bd42,3290
SLON11AC01,Te7/0/45,up,up,WAP Port,de20.7dbb.4d26,3290
SLON11AC01,Te7/0/45,up,up,WAP Port,ee75.8780.60b8,3290
SLON11AC01,Te1/0/42,up,up,WAP Port,fa64.a819.dad0,3290
SLON11AC02,Te2/0/48,up,up,WAP Port,4851.c550.f807,1590
SLON11AC02,Te1/0/48,up,up,WAP Port,5cb4.7e03.532c,1590
SLON11AC02,Te1/0/48,up,up,WAP Port,80a9.9732.f3bf,1590
SLON11AC02,Te1/0/47,up,up,WAP Port,9c67.d613.9511,1590
SLON11AC02,Te1/0/47,up,up,WAP Port,9c67.d613.df21,1590
SLON11AC02,Te1/0/47,up,up,WAP Port,9c67.d614.6f5e,1590
SLON11AC02,Te2/0/46,up,up,WAP Port,9c67.d615.e7ee,1590
SLON11AC02,Te1/0/47,up,up,WAP Port,a864.f16b.afc6,1590
SLON11AC02,Te1/0/47,up,up,WAP Port,b03c.dce1.6707,1590
SLON11AC02,Tw5/0/26,,,,00be.4356.99f0,2111
SLON11AC02,Te2/0/39,up,up,End User Port,0892.0472.1740,2111
SLON11AC02,Te2/0/38,up,up,End User Port,2800.af24.602b,2111
SLON11AC02,Tw2/0/4,up,up,End User Port,3814.28b0.9e38,2111
SLON11AC02,Tw2/0/18,up,up,End User Port,ac91.a1c8.9f55,2111
SLON11AC02,Tw1/0/2,up,up,End User Port,b445.06bf.2b0d,2111
SLON11AC02,Tw4/0/2,up,up,End User Port,c047.0e65.d1e7,2111
SLON11AC02,Tw1/0/5,up,up,End User Port,c047.0e66.123d,2111
SLON11AC02,Tw3/0/26,up,up,End User Port,c047.0e71.7812,2111
SLON11AC02,Te2/0/40,up,up,End User Port,c047.0e92.ca11,2111
SLON11AC02,Te3/0/43,up,up,End User Port,c047.0e92.ce5b,2111
SLON11AC02,Tw3/0/33,up,up,End User Port,c047.0e92.ceb6,2111
SLON11AC02,Te2/0/48,up,up,WAP Port,1203.62ad.c0a0,3290
SLON11AC02,Te1/0/47,up,up,WAP Port,46d7.cd85.6ecd,3290
SLON11AC02,Te2/0/48,up,up,WAP Port,6230.5b67.a47e,3290
SLON11AC02,Te1/0/48,up,up,WAP Port,66fb.f9fc.fbcf,3290
SLON11AC02,Te2/0/48,up,up,WAP Port,827e.7f9c.1bca,3290
SLON11AC02,Te6/0/47,up,up,WAP Port,a8f7.d99c.bbc2,3290
SLON11AC02,Te6/0/47,up,up,WAP Port,a8f7.d99c.bbd2,3290
SLON11AC02,Te2/0/48,up,up,WAP Port,a8f7.d99c.c012,3290
SLON11AC02,Te6/0/47,up,up,WAP Port,de20.7dbb.4d26,3290
SLON11AC02,Te2/0/48,up,up,WAP Port,fa64.a819.dad0,3290
SLON12AC01,Te3/0/42,up,up,End User Port,3814.28ec.7185,1112
SLON12AC01,Te4/0/47,up,up,End User Port,ac91.a1c8.9eb8,1112
SLON12AC01,Tw4/0/23,up,up,End User Port,c047.0e8f.44de,1112
SLON12AC01,Tw4/0/25,up,up,End User Port,c047.0e92.ca2f,1112
SLON12AC01,Te6/0/47,up,up,WAP Port,44a3.bb00.0384,1590
SLON12AC01,Te6/0/47,up,up,WAP Port,44a3.bbff.ca21,1590
SLON12AC01,Te6/0/44,up,up,WAP Port,4851.c550.f884,1590
SLON12AC01,Te6/0/44,up,up,WAP Port,4c77.cb0d.7a37,1590
SLON12AC01,Te6/0/44,up,up,WAP Port,4cb0.4a60.d32b,1590
SLON12AC01,Te6/0/46,up,up,WAP Port,5cb4.7e8a.2e29,1590
SLON12AC01,Te6/0/47,up,up,WAP Port,9c67.d613.950c,1590
SLON12AC01,Te6/0/47,up,up,WAP Port,9c67.d616.111a,1590
SLON12AC01,Te6/0/44,up,up,WAP Port,f020.ff56.dc31,1590
SLON12AC01,Te6/0/44,up,up,WAP Port,16bd.d583.a84e,3290
SLON12AC01,Te7/0/46,up,up,WAP Port,16e4.afac.681d,3290
SLON12AC01,Te7/0/46,up,up,WAP Port,3ec2.4bca.3cdb,3290
SLON12AC01,Te6/0/44,up,up,WAP Port,5210.fc36.9c7a,3290
SLON12AC01,Te6/0/46,up,up,WAP Port,5212.b4d7.bbf1,3290
SLON12AC01,Te6/0/45,up,up,WAP Port,5234.783e.ea22,3290
SLON12AC01,Te6/0/46,up,up,WAP Port,525f.97ae.d9e1,3290
SLON12AC01,Te6/0/44,up,up,WAP Port,6a23.4b17.0f08,3290
SLON12AC01,Te6/0/47,up,up,WAP Port,6a85.ece6.4823,3290
SLON12AC01,Te6/0/45,up,up,WAP Port,7ef4.e412.a7e8,3290
SLON12AC01,Te6/0/44,up,up,WAP Port,8216.c6e4.8836,3290
SLON12AC01,Te6/0/44,up,up,WAP Port,8ea2.ab1f.b452,3290
SLON12AC01,Te6/0/44,up,up,WAP Port,a641.fc28.3668,3290
SLON12AC01,Te6/0/46,up,up,WAP Port,b2e9.9105.8ca9,3290
SLON12AC01,Te7/0/46,up,up,WAP Port,c601.e3da.00a8,3290
SLON12AC01,Te6/0/44,up,up,WAP Port,f64b.0a07.1ab5,3290
SLON12AC01,Te6/0/47,up,up,WAP Port,f6b9.0a98.d222,3290
SLON12AC02,Te6/0/43,up,up,WAP Port,105f.ad32.b9be,1590
SLON12AC02,Te6/0/44,up,up,WAP Port,f8fe.5e25.b732,1590
SLON12AC02,Tw2/0/23,up,up,End User Port,0892.0476.9b64,2112
SLON12AC02,Te2/0/40,up,up,End User Port,0892.0477.aace,2112
SLON12AC02,Te3/0/48,up,up,End User Port,0892.0477.aeae,2112
SLON12AC02,Tw2/0/35,up,up,End User Port,2800.af05.6a47,2112
SLON12AC02,Tw4/0/8,up,up,End User Port,2800.af24.5e46,2112
SLON12AC02,Tw1/0/36,up,up,End User Port,2800.af24.6011,2112
SLON12AC02,Tw2/0/32,up,up,End User Port,2800.af2c.9fb3,2112
SLON12AC02,Tw2/0/5,up,up,End User Port,2800.af2c.a014,2112
SLON12AC02,Te3/0/40,up,up,End User Port,3814.28d9.2802,2112
SLON12AC02,Tw1/0/26,up,up,End User Port,3814.28d9.283f,2112
SLON12AC02,Tw3/0/17,up,up,End User Port,a029.198b.80ca,2112
SLON12AC02,Tw2/0/13,up,up,End User Port,ac91.a1c8.9eb6,2112
SLON12AC02,Te4/0/44,up,up,End User Port,ac91.a1dd.68b8,2112
SLON12AC02,Tw3/0/6,up,up,End User Port,c047.0e67.2ba7,2112
SLON12AC02,Tw2/0/25,up,up,End User Port,c047.0e71.76aa,2112
SLON12AC02,Tw4/0/36,up,up,End User Port,c047.0e71.e194,2112
SLON12AC02,Tw2/0/19,up,up,End User Port,c047.0e90.f22e,2112
SLON12AC02,Te1/0/41,up,up,End User Port,c047.0e90.f331,2112
SLON12AC02,Tw3/0/25,up,up,End User Port,c047.0e90.f332,2112
