SWTC19AC01 172.18.2.115/32
SWTC19AC02 172.18.2.123/32
SWTC19AC13-U2 172.25.0.59/25
SWTC19AC15 172.25.0.252/29
SWTC19AC20 172.25.0.60/25
SWTC19TSALAB01 10.8.34.5/23
SWTC20AC01 172.18.2.131/32
SWTC20AC02 172.18.2.139/32
SWTC21AC01 172.18.2.147/32
SWTC21AC02 172.18.2.155/32
SWTC22AC01 172.18.2.163/32
SWTC22AC02 172.18.2.171/32
SWTC23AC01 172.18.2.179/32
SWTC23AC02 172.18.2.187/32
SWTC24AC01 172.18.2.195/32
SWTC24AC02 172.18.3.11/32
SWTC25AC01 172.18.2.203/32
SWTC25AC02 172.18.2.211/32
SWTC26AC01-U2 172.18.2.219/32
SWTC26AC02 172.18.2.227/32
SWTC50AC01 172.18.3.51/32
SWTC50AC02 172.18.3.59/32
SWTC51AC01 172.18.3.67/32
SWTC51AC02 172.18.3.75/32
SWTC51AC03 10.8.226.249/24
SWTC52AC01-U2 172.18.3.82/29
SWTC52AC02 172.18.3.89/29
