hostname,ip,serial_number
WFGR02WC01,10.135.34.1,FCW1830L01E
WHKG24WC01,10.131.2.1,FCW1830L01D
WFSG14WC01,10.135.70.1,FCW1830L013
WHKG24WC02,10.131.2.3,FCW1830L019
WFSG14WC02,10.135.70.3,FCW1829L0S2
WBUE16WC02,10.129.204.2,FCW1553L0FY
WBUE16WC01,10.129.204.1,FCW1552L0LD
WFGR02WC02,10.135.34.2,FCW1830L00C
WFRK02WC02,10.128.224.2,FCW1517L0BR
WDUB03WC02,10.131.164.2,FCW1828L0AF
WDUB03WC01,10.131.164.1,FCW1828L0BR
WTOR14WC02,10.128.160.2,FCW1450L02A
WTOR14WC01,10.128.160.1,FCW1450L03S
WFRK02WC01,10.128.224.1,
RTTO15AC01,172.18.23.1,FCW1924D0B1
RBCI03CR01,172.18.59.4,FOC2211U0C0
RMON04CR01,172.18.30.129,FOC2229X0L4
SBCI02AC01,172.19.127.83,FOC2215L1LH
SDXB01AC01,172.19.106.177,FOC2248X00Y
RDXB02CR01,172.18.43.131,FOC1852X1JS
RBCF17CR01,172.18.57.132,FCW2215D0MF
SBCI03AC01,172.19.127.91,FCW1912C0ED
RBCQ03CR01,172.18.60.132,FCW2211D03W
RCYP01CR01,172.18.9.6,FOC1817U1MQ
RSHA10CR01,172.18.44.3,FCW1903D0TU
RBCX05CR01,172.18.62.132,FOC2211U0BX
RFGN00CR01,172.18.34.134,FCW2147C096
RBDM04CR01,172.18.66.132,FJB2330H0BA
WBDN07WC01,100.97.114.1,Unknown
RBCR01CR01,172.18.61.4,FOC2214U0VE
RBCC07CR01,172.18.57.4,FOC2211X0JL
RBJG24CR01,172.18.37.131,FCW2051D01H
