device_name,serial_number
SBDV03OB01,
SBDW05OB01,
SBDV01OB01,
SBDR03OB01,
SBDQ03OB01,
SBDX03OB01,
SBDX04OB01,
SBDY01OB01,
SBEA01OB01,
SBDZ12OB01,
SBEB06OB01,
SBED01OB01,
SBEW00OB01,
SBEW00OB02,
SBEW00MT01,
SBEW00OB03,
SBEW00OB04,
SBFB01MT01,
SBFM02OB01,
SBFN13OB01,
SBFP01OB01,
SBFO05OB01,
SBFQ04OB01,
TBCC07TS01,0520274546
SBFR00OB01,
SBFS00OB01,
SBFT04OB01,
SBFU01OB01,
TBCD01TS02,
TBCF17TS01,
TBCI02TS01,0520274558
TBCD02TS01,
TBCP05TS01,
TBCQ00TS01,0520274566
TBCR00TS01,0520274563
TBCX05TS01,
TBDM04TS01,
TBDN06TS01,0520331723
TBDN10TS01,
TBDN07TS01,
TBDQ03TS01,0520382421
TBDR00TS01,
TBCD04TS01,
TBDR03TS02,0520396847
TBDV00TS01,
TBDV00TS02,
TBDV03TS01,0520457473
TBDV03TS02,0520457472
TBDV03TS04,0520457476
TBDV03TS05,0520457295
TBDV03TS06,0520457487
TBDV03TS07,0520458571
TBDW05TS01,
TBDV03TS08,0520457491
TBDX03TS01,0520453120
TBDX03TS02,0520451225
TBDX03TS03,0520451209
TBDV03TS03,
TBDX03TS04,0520453119
TBDX03TS05,0520454247
TBDX03TS06,0520453135
TBDX04TS01,
TBDY00TS01,
TBDZ12TS01,
TBEA00TS01,
TBEB06TS01,0520339045
TBED00TS01,
TBEI08TS01,
TBEQ05TS01,0520394375
TBEW00TS01,
TBEY05TS01,
TBEG00TS01,
TBFA03TS01,
TBDP03TS01,
TBFB01TS01,
TBFM02TS01,0520383957
TBFO05TS01,0520368227
TBFN13TS01,0520382424
TBFP01TS01,0520424717
TBFC03TS01,
TBFQ04TS01,0520448977
TBFT04TS01,
TBFR00TS01,0520429052
TBFS00TS01,0520429061
TBFV05TS01,0520414249
TBFU01TS01,0520368228
TBFX18TS01,0520274545
TBFW08TS01,
TBFZ01TS01,
TBFY03TS01,
TBFW08TS02,
TBGA01TS01,
TBGE06TS01,
TBIA08TS01,0520476191
TBOC02TS01,
TBIE04TS01,
TBIB14TS01,
TBJG24TS01,
TBEX02TS01,
TDAL21TS01,0520060222
TBUE16TS01,
TCYP01TS01,
TDXB01TS01,0520274538
TEDI00TS01,
TDXB02TS01,
TFGN00TS01,0520275846
TFGR02TS01,
TCGO22TS01,
TDUB03TS01,
TFRK03TS01,0530059817
TFGR03TS02,
TGTT00TS01,0530029042
TFGR03TS01,
TGYS13TS01,0530029040
TGYS13TS02,0530029032
TFRK02TS01,
TFRK02TS03,
TICR17TS01,0520284336
THKG23TS01,
TFSG14TS01,
THKG24TS01,
THKG24TS02,0520194737
TKHG56TS01,
TKIS55TS01,
TLON11TS01,
TLON11TS02,
TLON12TS01,
TLON12TS02,
TLON14TS01,
TLON14TS02,
TLON14TS03,
TLON15TS01,
TMON04TS01,
TMAD06TS01,
TSJN04TS01,0530089530
TSHA10TS01,
TLON15TS02,
TLON16TS01,
TTOK21TS01,
TLON16TS02,
TWTC19TS01,
TTOK22TS01,
TWTC19TS04,0520330363
TTTO15TS01,0530000531
TSTN07TS01,
TWTC19TS03,0520194756
TTOR14TS01,
TWTC20TS02,0520195028
TWTC20TS01,
TWTC21TS01,0520195036
TWTC21TS02,0520195015
TWTC22TS01,0520195462
TWTC22TS02,0520195031
TWTC23TS01,0520195029
TWTC24TS01,0520195460
TWTC23TS02,0520194736
TWTC25TS01,
TWTC24TS02,
TWTC50TS01,0520142931
TWTC25TS02,0520195017
TWTC50TS02,0520154899
TWTC51TS01,0520154896
TWTC26TS01,0520195020
TWTC26TS02,0520195016
TWTC52TS01,0530024984
TWTC52TS02,0520001838
TWTC51TS02,
