device_name,ip_address,serial_number
SBDW05OB01,172.25.124.254,NV3620180343
SBDV01OB01,172.25.123.254,NV3620210113
SBDX04OB01,172.25.125.254,NV3620120005
SBEA01OB01,172.25.128.254,NV3620150233
SBDV03OB01,172.25.55.253,Virtual
SBDZ12OB01,172.25.127.254,NV3620210287
SBDX03OB01,172.25.54.253,Virtual
SBDY01OB01,172.25.126.254,NY3622170528
SBDR03OB01,172.25.133.254,NV3620150030
SBDQ03OB01,172.25.132.254,NV3620210374
SBFB01MT01,10.100.9.5,PD3715450435
SBEB06OB01,172.25.129.254,NV3620150162
SBED01OB01,172.25.131.254,NV3620210174
SBFM02OB01,172.25.168.254,ZD4723350707
SBFN13OB01,172.25.169.254,NV3620330303
SBEW00MT01,10.5.9.130,
SBFP01OB01,172.25.171.254,NW3621320235
SBFO05OB01,172.25.170.254,NV3620320059
SBFQ04OB01,172.25.172.254,NW3621320355
TBCC07TS01,172.25.83.1,0520274546
SBFR00OB01,172.25.173.254,NW3621320239
SBFS00OB01,172.25.174.254,NW3621320308
SBFT04OB01,172.25.175.254,NW3621320287
TBCF17TS01,172.25.84.1,
TBCI02TS01,172.25.87.1,0520274558
TBCQ00TS01,172.25.90.1,0520274566
TBCR00TS01,172.25.91.1,0520274563
TBCX05TS01,172.25.94.1,
SBEW00OB04,10.5.9.150,
SBEW00OB02,10.5.9.148,
SBEW00OB01,10.5.9.147,
SBEW00OB03,10.5.9.149,
TBDM04TS01,172.25.41.1,
TBCD01TS02,172.25.99.11,
SBFU01OB01,172.25.176.254,NV3620330279
TBDQ03TS01,172.25.132.11,0520382421
TBDN10TS01,172.25.16.2,
TBDN07TS01,172.25.16.1,
TBDN06TS01,172.25.16.3,0520331723
TBDV00TS01,172.25.123.11,
TBCD02TS01,172.25.99.12,
TBDV00TS02,172.25.123.18,
TBDR00TS01,172.25.133.11,
TBDV03TS01,172.25.55.34,0520457473
TBDV03TS02,172.25.55.35,0520457472
TBDR03TS02,172.25.133.24,0520396847
TBDV03TS03,172.25.55.36,0520458864
TBDV03TS04,172.25.55.37,0520457476
TBDV03TS05,172.25.55.38,0520457295
TBCD04TS01,172.25.99.14,
TBDV03TS06,172.25.55.39,0520457487
TBDV03TS07,172.25.55.40,0520458571
TBDW05TS01,172.25.124.11,
TBDV03TS08,172.25.55.41,0520457491
TBDX03TS01,172.25.54.34,0520453120
TBDX03TS02,172.25.54.35,0520451225
TBDX03TS03,172.25.54.36,0520451209
TBDX04TS01,172.25.125.11,
TBDX03TS04,172.25.54.37,0520453119
TBDX03TS05,172.25.54.38,0520454247
TBDX03TS06,172.25.54.39,0520453135
TBDY00TS01,172.25.126.11,
TBEA00TS01,172.25.128.11,
TBDZ12TS01,172.25.127.11,
TBEQ05TS01,172.25.75.6,0520394375
TBED00TS01,172.25.131.11,
TBEB06TS01,172.25.129.11,0520339045
TBEI08TS01,172.25.75.162,
TBEW00TS01,10.5.9.157,
TBEY05TS01,172.25.154.3,
TBCP05TS01,172.25.89.1,
TBFP01TS01,172.25.171.10,0520424717
TBFN13TS01,172.25.169.11,0520382424
TBFM02TS01,172.25.168.11,0520383957
TBFO05TS01,172.25.170.11,0520368227
TBFT04TS01,172.25.175.11,
TBFQ04TS01,172.25.172.10,0520448977
TBFR00TS01,172.25.173.11,0520429052
TBDP03TS01,172.25.32.1,
TBFS00TS01,172.25.174.11,0520429061
TBFU01TS01,172.25.176.11,0520368228
TBFV05TS01,172.25.75.22,0520414249
TBFX18TS01,172.25.75.38,0520274545
TBFZ01TS01,172.25.75.70,
TBFY03TS01,172.25.75.118,
TBGA01TS01,172.25.75.194,
TBFW08TS01,172.25.75.54,
TBEG00TS01,172.25.135.4,
