device_name,ip_address,serial_number,alive
SBDW05OB01,172.25.124.254,NV3620180343,yes
SBDV01OB01,172.25.123.254,NV3620210113,yes
SBDX04OB01,172.25.125.254,NV3620120005,yes
SBEA01OB01,172.25.128.254,NV3620150233,yes
SBDZ12OB01,172.25.127.254,NV3620210287,yes
SBDY01OB01,172.25.126.254,NY3622170528,yes
SBDV03OB01,172.25.55.253,Virtual,yes
SBDX03OB01,172.25.54.253,Virtual,yes
SBDR03OB01,172.25.133.254,NV3620150030,yes
SBDQ03OB01,172.25.132.254,NV3620210374,yes
SBFB01MT01,10.100.9.5,PD3715450435,yes
SBEB06OB01,172.25.129.254,NV3620150162,yes
SBED01OB01,172.25.131.254,NV3620210174,yes
SBFM02OB01,172.25.168.254,ZD4723350707,yes
SBFN13OB01,172.25.169.254,NV3620330303,yes
SBEW00MT01,10.5.9.130,,yes
SBFP01OB01,172.25.171.254,NW3621320235,yes
SBFO05OB01,172.25.170.254,NV3620320059,yes
SBFQ04OB01,172.25.172.254,NW3621320355,yes
TBCC07TS01,172.25.83.1,0520274546,yes
SBFR00OB01,172.25.173.254,NW3621320239,yes
SBFS00OB01,172.25.174.254,NW3621320308,yes
SBFT04OB01,172.25.175.254,NW3621320287,yes
TBCI02TS01,172.25.87.1,0520274558,yes
TBCF17TS01,172.25.84.1,,yes
TBCQ00TS01,172.25.90.1,0520274566,yes
TBCR00TS01,172.25.91.1,0520274563,yes
TBCX05TS01,172.25.94.1,,yes
SBEW00OB04,10.5.9.150,,no SSH and yes ICMP
SBEW00OB03,10.5.9.149,,no SSH and yes ICMP
SBEW00OB01,10.5.9.147,,no SSH and yes ICMP
SBEW00OB02,10.5.9.148,,no SSH and yes ICMP
TBDM04TS01,172.25.41.1,,yes
SBFU01OB01,172.25.176.254,NV3620330279,yes
TBCD01TS02,172.25.99.11,,yes
TBDQ03TS01,172.25.132.11,0520382421,yes
TBDN06TS01,172.25.16.3,0520331723,yes
TBDN10TS01,172.25.16.2,,yes
TBDN07TS01,172.25.16.1,,yes
TBCD02TS01,172.25.99.12,,yes
TBDV00TS01,172.25.123.11,,yes
TBDR00TS01,172.25.133.11,,yes
TBDV00TS02,172.25.123.18,,yes
TBDR03TS02,172.25.133.24,0520396847,yes
TBDV03TS02,172.25.55.35,0520457472,yes
TBDV03TS01,172.25.55.34,0520457473,yes
TBDV03TS03,172.25.55.36,0520458864,yes
TBDV03TS04,172.25.55.37,0520457476,yes
TBDV03TS05,172.25.55.38,0520457295,yes
TBDW05TS01,172.25.124.11,,yes
TBDV03TS06,172.25.55.39,0520457487,yes
TBDV03TS07,172.25.55.40,0520458571,yes
TBDV03TS08,172.25.55.41,0520457491,yes
TBDX03TS01,172.25.54.34,0520453120,yes
TBCD04TS01,172.25.99.14,,yes
TBDX03TS02,172.25.54.35,0520451225,yes
TBDX03TS03,172.25.54.36,0520451209,yes
TBDX03TS04,172.25.54.37,0520453119,yes
TBDX03TS05,172.25.54.38,0520454247,yes
TBDX04TS01,172.25.125.11,,yes
TBDX03TS06,172.25.54.39,0520453135,yes
TBDY00TS01,172.25.126.11,,yes
TBEA00TS01,172.25.128.11,,yes
TBDZ12TS01,172.25.127.11,,yes
TBEQ05TS01,172.25.75.6,0520394375,yes
TBED00TS01,172.25.131.11,,yes
TBEB06TS01,172.25.129.11,0520339045,yes
TBEI08TS01,172.25.75.162,,yes
TBEW00TS01,10.5.9.157,,yes
TBEY05TS01,172.25.154.3,,yes
TBCP05TS01,172.25.89.1,,yes
TBFP01TS01,172.25.171.10,0520424717,yes
TBFM02TS01,172.25.168.11,0520383957,yes
TBFN13TS01,172.25.169.11,0520382424,yes
TBFO05TS01,172.25.170.11,0520368227,yes
TBFT04TS01,172.25.175.11,,yes
TBFQ04TS01,172.25.172.10,0520448977,yes
TBFR00TS01,172.25.173.11,0520429052,yes
TBDP03TS01,172.25.32.1,,yes
TBFS00TS01,172.25.174.11,0520429061,yes
TBFU01TS01,172.25.176.11,0520368228,yes
TBFV05TS01,172.25.75.22,0520414249,yes
TBFX18TS01,172.25.75.38,0520274545,yes
TBFY03TS01,172.25.75.118,,yes
TBFZ01TS01,172.25.75.70,,yes
TBGA01TS01,172.25.75.194,,yes
