host,interface,admin_status,oper_status,description,mac address,vlan
172.18.2.115,-----,,,,-----------,----
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.8610.aab9,200
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.8616.ac3f,200
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.861c.7de3,200
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.861e.e0ca,200
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.861f.8409,200
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.861f.840f,200
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.8621.929c,200
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.8622.03a1,200
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.8622.03b5,200
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.8622.0708,200
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.8622.070a,200
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.8622.070c,200
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.8622.0710,200
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.8622.0712,200
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.8622.0716,200
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.8622.0722,200
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.8622.0724,200
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.8622.0728,200
172.18.2.115,Te2/0/40,up,up,"""Uplink - SWTC19AC15""",00e0.8622.0732,200
