host,interface,admin_status,oper_status,description,mac address,vlan
172.18.2.115,Tw2/0/4,up,up,"""DATA - Wired - 802.1x""",4825.6722.ea3d,1119
172.18.2.115,Te2/0/46,up,up,"""WAP Ports""",ac23.16e9.58e9,1119
172.18.2.115,Tw2/0/20,up,up,"""DATA - Wired - 802.1x""",d4a2.cd2d.9102,1119
172.18.2.123,Te4/0/37,up,up,"""TSA 19 Floor""",00e0.4cc3.422d,2119
172.18.2.123,Tw5/0/35,up,up,"""TSA 19 Floor""",00e0.4cc3.4abd,2119
172.18.2.123,Tw6/0/2,up,up,"""TSA 19 Floor""",00e0.4cc3.4d69,2119
172.18.2.123,Po10,up,up,,00e0.4cc3.509a,2119
172.18.2.123,Tw5/0/2,up,up,"""TSA 19 Floor""",00e0.4cc3.50d5,2119
172.18.2.123,Po10,up,up,,00e0.4cc3.578a,2119
172.18.2.123,Po10,up,up,,00e0.4cc3.5bbe,2119
172.18.2.123,Te5/0/41,up,up,"""TSA 19 Floor""",00e0.4cc5.90f3,2119
172.18.2.123,Tw6/0/4,up,up,"""TSA 19 Floor""",00e0.4cc5.9308,2119
172.18.2.123,Tw4/0/3,up,up,"""TSA 19 Floor""",00e0.4cc5.9670,2119
172.18.2.123,Tw5/0/22,up,up,"""TSA 19 Floor""",1098.1963.a7bd,2119
172.18.2.123,Tw4/0/13,up,up,"""DATA - Wired - 802.1x""",4825.6716.13db,2119
172.18.2.123,Tw2/0/18,up,up,"""DATA - Wired - 802.1x""",a029.19bd.4c96,2119
172.18.2.123,Tw4/0/4,up,up,"""TSA 19 Floor""",a0ce.c815.2296,2119
172.18.2.123,Tw5/0/24,up,up,"""TSA 19 Floor""",ac1a.3d86.b5fd,2119
172.18.2.123,Te1/0/48,up,up,"""WAP Ports""",ac23.16e9.58a8,2119
172.18.2.123,Te5/0/37,up,up,"""TSA 19 Floor""",b4e9.b8f6.4cd9,2119
172.18.2.123,Tw3/0/20,up,up,"""DATA - Wired - 802.1x""",d4a2.cd2d.0de8,2119
172.18.2.123,Tw4/0/32,up,up,"""TSA 19 Floor""",d4a2.cd3a.4535,2119
172.18.2.123,Tw6/0/8,,,,d4a2.cd3a.47f9,2119
172.18.2.123,Te5/0/42,up,up,"""TSA 19 Floor""",d4a2.cd3a.4826,2119
172.18.2.123,Tw6/0/21,up,up,"""DATA - Wired - 802.1x""",e430.224a.a039,2119
172.18.2.123,Po10,up,up,,e8cf.83a9.a74f,2119
172.18.2.123,Te1/0/43,up,up,"""AV - Wired - 802.1x""",c463.fb06.8ff7,2819
172.25.0.59,Gi2/0/29,up,up,Camera 2007 North Stair G,accc.8e0a.83b0,3201
172.25.0.59,Gi2/0/30,up,up,Camera 2008 South Stair H,accc.8e0a.865b,3201
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,0e5c.0b3d.eec9,3290
172.25.0.59,Po12,up,up,WTC-ER01-02-PO,1a88.90ad.f011,3290
