SWTC19AC01 172.18.2.115
SWTC19AC02 172.18.2.123
SWTC19AC13 172.25.0.59
SWTC19AC20 172.25.0.60
SWTC20AC01 172.18.2.131
SWTC20AC02 172.18.2.139
SWTC21AC01 172.18.2.147
SWTC21AC02 172.18.2.155
SWTC22AC01 172.18.2.163
SWTC22AC02 172.18.2.171
SWTC23AC01 172.18.2.179
SWTC23AC02 172.18.2.187
SWTC24AC01 172.18.2.195
SWTC24AC02 172.18.3.11
SWTC25AC01 172.18.2.203
SWTC25AC02 172.18.2.211
SWTC26AC01 172.18.2.219
SWTC26AC02 172.18.2.227
SWTC50AC01 172.18.3.51
SWTC50AC02 172.18.3.59
SWTC51AC01 172.18.3.67
SWTC51AC02 172.18.3.75
SWTC51AC03 10.8.226.249
SWTC52AC01 172.18.3.82
SWTC52AC02 172.18.3.89
