host,interface,admin_status,oper_status,description
SWTC19AC01,Vl1,admin,down,down
SWTC19AC01,Vl200,up,up,OOB-Network
SWTC19AC01,Vl888,admin,down,down     BLACKHOLE
SWTC19AC01,Vl1119,up,up,Data_19N
SWTC19AC01,Vl1212,up,up,P2P-ER01-AC
SWTC19AC01,Vl1217,up,up,GUEST
SWTC19AC01,Vl1222,up,up,P2P-ER02-AC
SWTC19AC01,Vl1227,up,up,GUEST
SWTC19AC01,Vl1590,admin,down,down     MCO
SWTC19AC01,Vl1719,up,up,Video_19N
SWTC19AC01,Vl1900,up,up,SWTC19AC15_MGMT
SWTC19AC01,Vl3290,admin,down,down     GUEST
SWTC19AC01,Gi0/0,down,down,
SWTC19AC01,Tw1/0/1,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/2,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/3,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/4,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/5,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/6,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/7,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/8,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/9,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/11,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/12,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/13,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/14,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/15,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/16,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/17,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/18,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/19,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/20,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/21,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/22,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/23,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/24,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/25,admin,down,down     WAP-MIST-EDGE-POC
SWTC19AC01,Tw1/0/26,admin,down,down     WAP-MIST-EDGE-POC
SWTC19AC01,Tw1/0/27,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/28,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/29,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/30,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/31,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/32,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/34,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/35,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw1/0/36,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Te1/0/37,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Te1/0/38,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Te1/0/39,up,up,"""Zoom-Phones - Wired - 802.1x"""
SWTC19AC01,Te1/0/40,down,down,
SWTC19AC01,Te1/0/41,up,up,"""AV - Wired - 802.1x"""
SWTC19AC01,Te1/0/42,up,up,"""AV - Wired - 802.1x"""
SWTC19AC01,Te1/0/43,up,up,"""WAP Ports"""
SWTC19AC01,Te1/0/44,up,up,"""WAP Ports"""
SWTC19AC01,Te1/0/45,up,up,"""WAP Ports"""
SWTC19AC01,Te1/0/46,up,up,"""WAP Ports"""
SWTC19AC01,Te1/0/47,up,up,"""WAP Ports"""
SWTC19AC01,Te1/0/48,up,up,"""WAP Ports"""
SWTC19AC01,Gi1/1/1,down,down,
SWTC19AC01,Gi1/1/2,down,down,
SWTC19AC01,Gi1/1/3,down,down,
SWTC19AC01,Gi1/1/4,down,down,
SWTC19AC01,Te1/1/1,up,up,P2P-ER01-AC
SWTC19AC01,Te1/1/2,admin,down,down
SWTC19AC01,Te1/1/4,admin,down,down
SWTC19AC01,Te1/1/5,admin,down,down
SWTC19AC01,Te1/1/6,admin,down,down
SWTC19AC01,Te1/1/7,admin,down,down
SWTC19AC01,Te1/1/8,admin,down,down
SWTC19AC01,Fo1/1/1,down,down,
SWTC19AC01,Fo1/1/2,down,down,
SWTC19AC01,Twe1/1/1,down,down,
SWTC19AC01,Twe1/1/2,down,down,
SWTC19AC01,Ap1/0/1,up,up,
SWTC19AC01,Tw2/0/1,up,up,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw2/0/2,down,down,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw2/0/3,up,up,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw2/0/4,up,up,"""DATA - Wired - 802.1x"""
SWTC19AC01,Tw2/0/5,up,up,"""DATA - Wired - 802.1x"""
