SiteName,Router_Route,Result
MDYSYDSITE,10.65.4.0/22,Subnet of 10.65.0.0/19
MDYSYDSITE,10.65.0.0/23,Subnet of 10.65.0.0/19
MDYSYDSITE,10.65.4.0/22,Subnet of 10.65.0.0/19
MDYCGOSITE,10.2.96.0/19,Perfect match
MDYCSISITE,10.3.128.0/23,Subnet of 10.3.128.0/19
MDYCSISITE,10.3.158.0/23,Subnet of 10.3.128.0/19
MDYSYDSITE,10.65.0.0/23,Subnet of 10.65.0.0/19
MDYSYDSITE,10.65.4.0/22,Subnet of 10.65.0.0/19
MDYNASITE,10.69.160.0/23,Subnet of 10.69.160.0/19
MDYCSISITE,10.131.128.0/23,Subnet of 10.131.128.0/19
MDYCSISITE,10.131.132.0/23,Subnet of 10.131.128.0/19
MDYSYDSITE,10.132.188.0/24,Perfect match
MDYBCRSITE,172.17.6.144/28,Perfect match
MDYBCRSITE,172.17.6.160/28,Perfect match
MDYBCRSITE,172.18.60.128/25,Perfect match
MDYBCRSITE,172.18.61.0/25,Perfect match
MDYBCRSITE,172.19.130.0/24,Perfect match
